"Package","Version","LibPath"
"abind","1.4-8","/work/islet_cartography_scrna/r_library"
"anndata","0.8.0","/work/islet_cartography_scrna/r_library"
"AnnotationDbi","1.68.0","/work/islet_cartography_scrna/r_library"
"ape","5.8-1","/work/islet_cartography_scrna/r_library"
"aplot","0.2.9","/work/islet_cartography_scrna/r_library"
"archive","1.1.12","/work/islet_cartography_scrna/r_library"
"aricode","1.0.3","/work/islet_cartography_scrna/r_library"
"arrow","22.0.0","/work/islet_cartography_scrna/r_library"
"askpass","1.2.1","/work/islet_cartography_scrna/r_library"
"assertthat","0.2.1","/work/islet_cartography_scrna/r_library"
"assorthead","1.0.1","/work/islet_cartography_scrna/r_library"
"base64enc","0.1-3","/work/islet_cartography_scrna/r_library"
"beachmat","2.22.0","/work/islet_cartography_scrna/r_library"
"beeswarm","0.4.0","/work/islet_cartography_scrna/r_library"
"bench","1.1.4","/work/islet_cartography_scrna/r_library"
"BH","1.87.0-1","/work/islet_cartography_scrna/r_library"
"Biobase","2.66.0","/work/islet_cartography_scrna/r_library"
"BiocGenerics","0.52.0","/work/islet_cartography_scrna/r_library"
"BiocIO","1.16.0","/work/islet_cartography_scrna/r_library"
"BiocParallel","1.40.2","/work/islet_cartography_scrna/r_library"
"BiocVersion","3.20.0","/work/islet_cartography_scrna/r_library"
"Biostrings","2.74.1","/work/islet_cartography_scrna/r_library"
"bit","4.6.0","/work/islet_cartography_scrna/r_library"
"bit64","4.6.0-1","/work/islet_cartography_scrna/r_library"
"bitops","1.0-9","/work/islet_cartography_scrna/r_library"
"blob","1.2.4","/work/islet_cartography_scrna/r_library"
"cachem","1.1.0","/work/islet_cartography_scrna/r_library"
"caTools","1.18.3","/work/islet_cartography_scrna/r_library"
"circlize","0.4.16","/work/islet_cartography_scrna/r_library"
"cli","3.6.5","/work/islet_cartography_scrna/r_library"
"clue","0.3-66","/work/islet_cartography_scrna/r_library"
"colorBlindness","0.1.9","/work/islet_cartography_scrna/r_library"
"colorspace","2.1-2","/work/islet_cartography_scrna/r_library"
"commonmark","2.0.0","/work/islet_cartography_scrna/r_library"
"ComplexHeatmap","2.22.0","/work/islet_cartography_scrna/r_library"
"cowplot","1.2.0","/work/islet_cartography_scrna/r_library"
"cpp11","0.5.2","/work/islet_cartography_scrna/r_library"
"crayon","1.5.3","/work/islet_cartography_scrna/r_library"
"curl","7.0.0","/work/islet_cartography_scrna/r_library"
"data.table","1.17.8","/work/islet_cartography_scrna/r_library"
"DBI","1.2.3","/work/islet_cartography_scrna/r_library"
"decor","1.0.2","/work/islet_cartography_scrna/r_library"
"DelayedArray","0.32.0","/work/islet_cartography_scrna/r_library"
"DelayedMatrixStats","1.28.1","/work/islet_cartography_scrna/r_library"
"deldir","2.0-4","/work/islet_cartography_scrna/r_library"
"DEoptimR","1.1-4","/work/islet_cartography_scrna/r_library"
"DESeq2","1.46.0","/work/islet_cartography_scrna/r_library"
"digest","0.6.39","/work/islet_cartography_scrna/r_library"
"distro","0.1.1","/work/islet_cartography_scrna/r_library"
"doParallel","1.0.17","/work/islet_cartography_scrna/r_library"
"DOSE","4.0.1","/work/islet_cartography_scrna/r_library"
"dotCall64","1.2","/work/islet_cartography_scrna/r_library"
"dplyr","1.1.4","/work/islet_cartography_scrna/r_library"
"dqrng","0.4.1","/work/islet_cartography_scrna/r_library"
"DropletUtils","1.26.0","/work/islet_cartography_scrna/r_library"
"duckdb","1.4.1","/work/islet_cartography_scrna/r_library"
"edgeR","4.4.2","/work/islet_cartography_scrna/r_library"
"farver","2.1.2","/work/islet_cartography_scrna/r_library"
"fastDummies","1.7.5","/work/islet_cartography_scrna/r_library"
"fastmap","1.2.0","/work/islet_cartography_scrna/r_library"
"fastmatch","1.1-6","/work/islet_cartography_scrna/r_library"
"ff","4.5.2","/work/islet_cartography_scrna/r_library"
"fgsea","1.32.4","/work/islet_cartography_scrna/r_library"
"fitdistrplus","1.2-4","/work/islet_cartography_scrna/r_library"
"FNN","1.1.4.1","/work/islet_cartography_scrna/r_library"
"foreach","1.5.2","/work/islet_cartography_scrna/r_library"
"formatR","1.14","/work/islet_cartography_scrna/r_library"
"formattable","0.2.1","/work/islet_cartography_scrna/r_library"
"fs","1.6.6","/work/islet_cartography_scrna/r_library"
"furrr","0.3.1","/work/islet_cartography_scrna/r_library"
"futile.logger","1.4.3","/work/islet_cartography_scrna/r_library"
"futile.options","1.0.1","/work/islet_cartography_scrna/r_library"
"future","1.67.0","/work/islet_cartography_scrna/r_library"
"future.apply","1.20.0","/work/islet_cartography_scrna/r_library"
"generics","0.1.4","/work/islet_cartography_scrna/r_library"
"GenomeInfoDb","1.42.3","/work/islet_cartography_scrna/r_library"
"GenomeInfoDbData","1.2.13","/work/islet_cartography_scrna/r_library"
"GenomicRanges","1.58.0","/work/islet_cartography_scrna/r_library"
"GEOquery","2.74.0","/work/islet_cartography_scrna/r_library"
"GetoptLong","1.1.0","/work/islet_cartography_scrna/r_library"
"ggbeeswarm","0.7.2","/work/islet_cartography_scrna/r_library"
"ggforce","0.5.0","/work/islet_cartography_scrna/r_library"
"ggfun","0.2.0","/work/islet_cartography_scrna/r_library"
"ggnewscale","0.5.2","/work/islet_cartography_scrna/r_library"
"ggplot2","4.0.0","/work/islet_cartography_scrna/r_library"
"ggplotify","0.1.3","/work/islet_cartography_scrna/r_library"
"ggraph","2.2.2","/work/islet_cartography_scrna/r_library"
"ggrastr","1.0.2","/work/islet_cartography_scrna/r_library"
"ggrepel","0.9.6","/work/islet_cartography_scrna/r_library"
"ggridges","0.5.7","/work/islet_cartography_scrna/r_library"
"ggtangle","0.0.9","/work/islet_cartography_scrna/r_library"
"glmnet","4.1-10","/work/islet_cartography_scrna/r_library"
"glmpca","0.2.0","/work/islet_cartography_scrna/r_library"
"GlobalOptions","0.1.2","/work/islet_cartography_scrna/r_library"
"globals","0.18.0","/work/islet_cartography_scrna/r_library"
"glue","1.8.0","/work/islet_cartography_scrna/r_library"
"GO.db","3.20.0","/work/islet_cartography_scrna/r_library"
"goftest","1.2-3","/work/islet_cartography_scrna/r_library"
"GOSemSim","2.32.0","/work/islet_cartography_scrna/r_library"
"gplots","3.2.0","/work/islet_cartography_scrna/r_library"
"graphlayouts","1.2.2","/work/islet_cartography_scrna/r_library"
"gridExtra","2.3","/work/islet_cartography_scrna/r_library"
"gridGraphics","0.5-1","/work/islet_cartography_scrna/r_library"
"gson","0.1.0","/work/islet_cartography_scrna/r_library"
"gtable","0.3.6","/work/islet_cartography_scrna/r_library"
"gtools","3.9.5","/work/islet_cartography_scrna/r_library"
"HDF5Array","1.34.0","/work/islet_cartography_scrna/r_library"
"here","1.0.2","/work/islet_cartography_scrna/r_library"
"hms","1.1.4","/work/islet_cartography_scrna/r_library"
"httr","1.4.7","/work/islet_cartography_scrna/r_library"
"hunspell","3.0.6","/work/islet_cartography_scrna/r_library"
"ica","1.0-3","/work/islet_cartography_scrna/r_library"
"igraph","2.2.1","/work/islet_cartography_scrna/r_library"
"inflection","1.3.7","/work/islet_cartography_scrna/r_library"
"IRanges","2.40.1","/work/islet_cartography_scrna/r_library"
"irlba","2.3.5.1","/work/islet_cartography_scrna/r_library"
"isoband","0.3.0","/work/islet_cartography_scrna/r_library"
"iterators","1.0.14","/work/islet_cartography_scrna/r_library"
"jsonlite","2.0.0","/work/islet_cartography_scrna/r_library"
"kableExtra","1.4.0","/work/islet_cartography_scrna/r_library"
"KEGGREST","1.46.0","/work/islet_cartography_scrna/r_library"
"kernlab","0.9-33","/work/islet_cartography_scrna/r_library"
"khroma","1.17.0","/work/islet_cartography_scrna/r_library"
"knitr","1.50","/work/islet_cartography_scrna/r_library"
"labeling","0.4.3","/work/islet_cartography_scrna/r_library"
"lambda.r","1.2.4","/work/islet_cartography_scrna/r_library"
"lazyeval","0.2.2","/work/islet_cartography_scrna/r_library"
"leiden","0.4.3.1","/work/islet_cartography_scrna/r_library"
"leidenbase","0.1.35","/work/islet_cartography_scrna/r_library"
"lifecycle","1.0.4","/work/islet_cartography_scrna/r_library"
"limma","3.62.2","/work/islet_cartography_scrna/r_library"
"listenv","0.10.0","/work/islet_cartography_scrna/r_library"
"lme4","1.1-37","/work/islet_cartography_scrna/r_library"
"lmerTest","3.1-3","/work/islet_cartography_scrna/r_library"
"locfit","1.5-9.12","/work/islet_cartography_scrna/r_library"
"magrittr","2.0.4","/work/islet_cartography_scrna/r_library"
"MatrixGenerics","1.18.1","/work/islet_cartography_scrna/r_library"
"matrixStats","1.5.0","/work/islet_cartography_scrna/r_library"
"memoise","2.0.1","/work/islet_cartography_scrna/r_library"
"microbenchmark","1.5.0","/work/islet_cartography_scrna/r_library"
"mime","0.13","/work/islet_cartography_scrna/r_library"
"minqa","1.2.8","/work/islet_cartography_scrna/r_library"
"mixtools","2.0.0.1","/work/islet_cartography_scrna/r_library"
"mvtnorm","1.3-3","/work/islet_cartography_scrna/r_library"
"nloptr","2.2.1","/work/islet_cartography_scrna/r_library"
"numDeriv","2016.8-1.1","/work/islet_cartography_scrna/r_library"
"openssl","2.3.4","/work/islet_cartography_scrna/r_library"
"openxlsx","4.2.8.1","/work/islet_cartography_scrna/r_library"
"org.Hs.eg.db","3.20.0","/work/islet_cartography_scrna/r_library"
"paletteer","1.6.0","/work/islet_cartography_scrna/r_library"
"parallelly","1.45.1","/work/islet_cartography_scrna/r_library"
"patchwork","1.3.2","/work/islet_cartography_scrna/r_library"
"pbapply","1.7-4","/work/islet_cartography_scrna/r_library"
"pcaPP","2.0-5","/work/islet_cartography_scrna/r_library"
"pheatmap","1.0.13","/work/islet_cartography_scrna/r_library"
"pillar","1.11.1","/work/islet_cartography_scrna/r_library"
"pkgconfig","2.0.3","/work/islet_cartography_scrna/r_library"
"plogr","0.2.0","/work/islet_cartography_scrna/r_library"
"plotly","4.11.0","/work/islet_cartography_scrna/r_library"
"plyr","1.8.9","/work/islet_cartography_scrna/r_library"
"png","0.1-8","/work/islet_cartography_scrna/r_library"
"polyclip","1.10-7","/work/islet_cartography_scrna/r_library"
"presto","1.0.0","/work/islet_cartography_scrna/r_library"
"prettyunits","1.2.0","/work/islet_cartography_scrna/r_library"
"prismatic","1.1.2","/work/islet_cartography_scrna/r_library"
"pROC","1.19.0.1","/work/islet_cartography_scrna/r_library"
"profmem","0.7.0","/work/islet_cartography_scrna/r_library"
"progress","1.2.3","/work/islet_cartography_scrna/r_library"
"progressr","0.17.0","/work/islet_cartography_scrna/r_library"
"purrr","1.2.0","/work/islet_cartography_scrna/r_library"
"qs","0.27.3","/work/islet_cartography_scrna/r_library"
"qs2","0.1.5","/work/islet_cartography_scrna/r_library"
"qvalue","2.38.0","/work/islet_cartography_scrna/r_library"
"R.cache","0.17.0","/work/islet_cartography_scrna/r_library"
"R.methodsS3","1.8.2","/work/islet_cartography_scrna/r_library"
"R.oo","1.27.1","/work/islet_cartography_scrna/r_library"
"R.utils","2.13.0","/work/islet_cartography_scrna/r_library"
"R6","2.6.1","/work/islet_cartography_scrna/r_library"
"RANN","2.6.2","/work/islet_cartography_scrna/r_library"
"RApiSerialize","0.1.4","/work/islet_cartography_scrna/r_library"
"rappdirs","0.3.3","/work/islet_cartography_scrna/r_library"
"rbibutils","2.4","/work/islet_cartography_scrna/r_library"
"RColorBrewer","1.1-3","/work/islet_cartography_scrna/r_library"
"Rcpp","1.1.0","/work/islet_cartography_scrna/r_library"
"RcppAnnoy","0.0.22","/work/islet_cartography_scrna/r_library"
"RcppArmadillo","15.0.2-2","/work/islet_cartography_scrna/r_library"
"RcppEigen","0.3.4.0.2","/work/islet_cartography_scrna/r_library"
"RcppHNSW","0.6.0","/work/islet_cartography_scrna/r_library"
"RcppParallel","5.1.11-1","/work/islet_cartography_scrna/r_library"
"RcppProgress","0.4.2","/work/islet_cartography_scrna/r_library"
"RcppTOML","0.2.3","/work/islet_cartography_scrna/r_library"
"RCurl","1.98-1.17","/work/islet_cartography_scrna/r_library"
"Rdpack","2.6.4","/work/islet_cartography_scrna/r_library"
"reformulas","0.4.2","/work/islet_cartography_scrna/r_library"
"rentrez","1.2.4","/work/islet_cartography_scrna/r_library"
"reshape2","1.4.4","/work/islet_cartography_scrna/r_library"
"restfulr","0.0.16","/work/islet_cartography_scrna/r_library"
"reticulate","1.44.0","/work/islet_cartography_scrna/r_library"
"rhdf5","2.50.2","/work/islet_cartography_scrna/r_library"
"rhdf5filters","1.18.1","/work/islet_cartography_scrna/r_library"
"Rhdf5lib","1.28.0","/work/islet_cartography_scrna/r_library"
"rjson","0.2.23","/work/islet_cartography_scrna/r_library"
"rlang","1.1.6","/work/islet_cartography_scrna/r_library"
"robustbase","0.99-6","/work/islet_cartography_scrna/r_library"
"ROCR","1.0-11","/work/islet_cartography_scrna/r_library"
"rprojroot","2.1.1","/work/islet_cartography_scrna/r_library"
"RSpectra","0.16-2","/work/islet_cartography_scrna/r_library"
"RSQLite","2.4.3","/work/islet_cartography_scrna/r_library"
"rsvd","1.0.5","/work/islet_cartography_scrna/r_library"
"Rtsne","0.17","/work/islet_cartography_scrna/r_library"
"S4Arrays","1.6.0","/work/islet_cartography_scrna/r_library"
"S4Vectors","0.44.0","/work/islet_cartography_scrna/r_library"
"S7","0.2.0","/work/islet_cartography_scrna/r_library"
"ScaledMatrix","1.14.0","/work/islet_cartography_scrna/r_library"
"scales","1.4.0","/work/islet_cartography_scrna/r_library"
"scattermore","1.2","/work/islet_cartography_scrna/r_library"
"scatterpie","0.2.6","/work/islet_cartography_scrna/r_library"
"sctransform","0.4.2","/work/islet_cartography_scrna/r_library"
"scuttle","1.16.0","/work/islet_cartography_scrna/r_library"
"segmented","2.1-4","/work/islet_cartography_scrna/r_library"
"Seurat","5.3.1","/work/islet_cartography_scrna/r_library"
"SeuratObject","5.3.0","/work/islet_cartography_scrna/r_library"
"shape","1.4.6.1","/work/islet_cartography_scrna/r_library"
"SingleCellExperiment","1.28.1","/work/islet_cartography_scrna/r_library"
"sitmo","2.0.2","/work/islet_cartography_scrna/r_library"
