Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
abind,/work/islet_cartography_scrna/r_library,1.4-8,NA,R (>= 1.5.0),"methods, utils",NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
anndata,/work/islet_cartography_scrna/r_library,0.8.0,NA,R (>= 3.5.0),"assertthat, cli, lifecycle, Matrix, methods, R6, reticulate
(>= 1.41)",NA,"stats, testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
AnnotationDbi,/work/islet_cartography_scrna/r_library,1.68.0,NA,"R (>= 2.7.0), methods, stats4, BiocGenerics (>= 0.29.2),
Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"utils, hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db,
reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75,
BiocStyle, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
archive,/work/islet_cartography_scrna/r_library,1.1.12,NA,R (>= 3.6.0),"cli, glue, rlang, tibble",cli,"covr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
aricode,/work/islet_cartography_scrna/r_library,1.0.3,NA,NA,"Matrix, Rcpp",Rcpp,"testthat, spelling",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.4.0
arrow,/work/islet_cartography_scrna/r_library,22.0.0,NA,R (>= 4.1),"assertthat, bit64 (>= 0.9-7), glue, methods, purrr, R6, rlang
(>= 1.0.0), stats, tidyselect (>= 1.0.0), utils, vctrs",cpp11 (>= 0.4.2),"blob, curl, cli, DBI, dbplyr, decor, distro, dplyr, duckdb
(>= 0.2.8), hms, jsonlite, knitr, lubridate, pillar, pkgload,
reticulate, rmarkdown, stringi, stringr, sys, testthat (>=
3.1.0), tibble, tzdb, withr",NA,Apache License (>= 2.0),NA,NA,NA,NA,yes,4.4.0
assertthat,/work/islet_cartography_scrna/r_library,0.2.1,NA,NA,tools,NA,"testthat, covr",NA,GPL-3,NA,NA,NA,NA,no,4.4.0
assorthead,/work/islet_cartography_scrna/r_library,1.0.1,NA,NA,NA,NA,"knitr, rmarkdown, BiocStyle",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.3
beachmat,/work/islet_cartography_scrna/r_library,2.22.0,NA,NA,"methods, DelayedArray (>= 0.27.2), SparseArray, BiocGenerics,
Matrix, Rcpp","Rcpp, assorthead","testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array, beachmat.hdf5",NA,GPL-3,NA,NA,NA,NA,yes,4.4.3
beeswarm,/work/islet_cartography_scrna/r_library,0.4.0,NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.0
bench,/work/islet_cartography_scrna/r_library,1.1.4,NA,R (>= 4.0.0),"glue (>= 1.8.0), methods, pillar (>= 1.10.1), profmem (>=
0.6.0), rlang (>= 1.1.4), stats, tibble (>= 3.2.1), utils",NA,"covr, dplyr, forcats, ggbeeswarm, ggplot2 (>= 3.5.1),
ggridges, parallel, scales, testthat (>= 3.2.3), tidyr (>=
1.3.1), vctrs (>= 0.6.5), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
BH,/work/islet_cartography_scrna/r_library,1.87.0-1,NA,NA,NA,NA,NA,NA,BSL-1.0,NA,NA,NA,NA,no,4.4.0
Biobase,/work/islet_cartography_scrna/r_library,2.66.0,NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils",methods,NA,"tools, tkWidgets, ALL, RUnit, golubEsets, BiocStyle, knitr,
limma",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
BiocGenerics,/work/islet_cartography_scrna/r_library,0.52.0,NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, S4Arrays, SparseArray,
DelayedArray, HDF5Array, GenomicRanges, pwalign, Rsamtools,
AnnotationDbi, affy, affyPLM, DESeq2, flowClust, MSnbase,
annotate, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
BiocIO,/work/islet_cartography_scrna/r_library,1.16.0,NA,R (>= 4.3.0),"BiocGenerics, S4Vectors, methods, tools",NA,"testthat, knitr, rmarkdown, BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
BiocParallel,/work/islet_cartography_scrna/r_library,1.40.2,NA,"methods, R (>= 3.5.0)","stats, utils, futile.logger, parallel, snow, codetools","BH, cpp11","BiocGenerics, tools, foreach, BBmisc, doParallel,
GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, RUnit, BiocStyle,
knitr, batchtools, data.table",Rmpi,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.3
BiocVersion,/work/islet_cartography_scrna/r_library,3.20.0,NA,R (>= 4.4.0),NA,NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
Biostrings,/work/islet_cartography_scrna/r_library,2.74.1,NA,"R (>= 4.0.0), BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.31.2), XVector (>= 0.37.1),
GenomeInfoDb","methods, utils, grDevices, stats, crayon","S4Vectors, IRanges, XVector","graphics, pwalign, BSgenome (>= 1.13.14),
BSgenome.Celegans.UCSC.ce2 (>= 1.3.11),
BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit, BiocStyle, knitr,
testthat (>= 3.0.0), covr",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
bit,/work/islet_cartography_scrna/r_library,4.6.0,NA,R (>= 3.4.0),NA,NA,"testthat (>= 3.0.0), roxygen2, knitr, markdown, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.0
bit64,/work/islet_cartography_scrna/r_library,4.6.0-1,NA,"R (>= 3.4.0), bit (>= 4.0.0)","graphics, methods, stats, utils",NA,"testthat (>= 3.0.3), withr",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.0
bitops,/work/islet_cartography_scrna/r_library,1.0-9,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
caTools,/work/islet_cartography_scrna/r_library,1.18.3,NA,R (>= 3.6.0),bitops,NA,"MASS, rpart",NA,GPL-3,NA,NA,NA,NA,yes,4.4.0
circlize,/work/islet_cartography_scrna/r_library,0.4.16,NA,"R (>= 4.0.0), graphics","GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid",NA,"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 2.0.0),
gridBase, png, markdown, bezier, covr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
clue,/work/islet_cartography_scrna/r_library,0.3-66,NA,R (>= 3.2.0),"stats, cluster, graphics, methods",NA,"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations","RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools",GPL-2,NA,NA,NA,NA,yes,4.4.0
colorBlindness,/work/islet_cartography_scrna/r_library,0.1.9,NA,R(>= 3.6),"ggplot2, grDevices, methods, cowplot, colorspace, graphics,
gridGraphics, gtable, grid",NA,"knitr, reshape2, stats, png, markdown, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
commonmark,/work/islet_cartography_scrna/r_library,2.0.0,NA,NA,NA,NA,"curl, testthat, xml2",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,4.4.0
ComplexHeatmap,/work/islet_cartography_scrna/r_library,2.22.0,NA,"R (>= 3.5.0), methods, grid, graphics, stats, grDevices","circlize (>= 0.4.14), GetoptLong, colorspace, clue,
RColorBrewer, GlobalOptions (>= 0.1.0), png, digest, IRanges,
matrixStats, foreach, doParallel, codetools",NA,"testthat (>= 1.0.0), knitr, markdown, dendsort, jpeg, tiff,
fastcluster, EnrichedHeatmap, dendextend (>= 1.0.1), grImport,
grImport2, glue, GenomicRanges, gridtext, pheatmap (>= 1.0.12),
gridGraphics, gplots, rmarkdown, Cairo, magick",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.3
cowplot,/work/islet_cartography_scrna/r_library,1.2.0,NA,R (>= 3.5.0),"ggplot2 (>= 3.5.2), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,GPL-2,NA,NA,NA,NA,no,4.4.0
cpp11,/work/islet_cartography_scrna/r_library,0.5.2,NA,R (>= 4.0.0),NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat (>= 3.2.0), tibble, utils, vctrs, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
decor,/work/islet_cartography_scrna/r_library,1.0.2,NA,R (>= 3.3.0),"tibble, utils, vctrs (>= 0.5.0)",NA,"covr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
DelayedArray,/work/islet_cartography_scrna/r_library,0.32.0,NA,"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.51.3), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.27.2),
IRanges (>= 2.17.3), S4Arrays (>= 1.5.4), SparseArray (>=
1.5.42)",stats,S4Vectors,"BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, lobstr, DelayedMatrixStats,
knitr, rmarkdown, BiocStyle, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
DelayedMatrixStats,/work/islet_cartography_scrna/r_library,1.28.1,NA,"MatrixGenerics (>= 1.15.1), DelayedArray (>= 0.31.7)","methods, sparseMatrixStats (>= 1.13.2), Matrix (>= 1.5-0),
S4Vectors (>= 0.17.5), IRanges (>= 2.25.10), SparseArray (>=
1.5.19)",NA,"testthat, knitr, rmarkdown, BiocStyle, microbenchmark,
profmem, HDF5Array, matrixStats (>= 1.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.3
deldir,/work/islet_cartography_scrna/r_library,2.0-4,NA,R (>= 3.5.0),"graphics, grDevices",NA,polyclip,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
DEoptimR,/work/islet_cartography_scrna/r_library,1.1-4,NA,NA,stats,NA,NA,robustbase,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
DESeq2,/work/islet_cartography_scrna/r_library,1.46.0,NA,"S4Vectors (>= 0.23.18), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)","BiocGenerics (>= 0.7.5), Biobase, BiocParallel, matrixStats,
methods, stats4, locfit, ggplot2 (>= 3.4.0), Rcpp (>= 0.11.0),
MatrixGenerics","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown, vsn, pheatmap, RColorBrewer,
apeglm, ashr, tximport, tximeta, tximportData, readr, pbapply,
airway, pasilla (>= 0.2.10), glmGamPoi, BiocManager",NA,LGPL (>= 3),NA,NA,NA,NA,yes,4.4.3
distro,/work/islet_cartography_scrna/r_library,0.1.1,NA,NA,NA,NA,testthat (>= 2.1.0),NA,Apache License (>= 2.0),NA,NA,NA,NA,no,4.4.0
doParallel,/work/islet_cartography_scrna/r_library,1.0.17,NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit",compiler,GPL-2,NA,NA,NA,NA,no,4.4.0
dotCall64,/work/islet_cartography_scrna/r_library,1.2,NA,R (>= 4.0),NA,NA,"microbenchmark, RhpcBLASctl, RColorBrewer, roxygen2, spam,
testthat,",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
dqrng,/work/islet_cartography_scrna/r_library,0.4.1,NA,R (>= 3.5.0),Rcpp (>= 0.12.16),"Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","BH, testthat, knitr, rmarkdown, mvtnorm (>= 1.2-3), bench,
sitmo",NA,AGPL-3,NA,NA,NA,NA,yes,4.4.0
DropletUtils,/work/islet_cartography_scrna/r_library,1.26.0,NA,SingleCellExperiment,"utils, stats, methods, Matrix, Rcpp, BiocGenerics, S4Vectors,
IRanges, GenomicRanges, SummarizedExperiment, BiocParallel,
SparseArray (>= 1.5.18), DelayedArray (>= 0.31.9),
DelayedMatrixStats, HDF5Array, rhdf5, edgeR, R.utils, dqrng,
beachmat, scuttle","Rcpp, beachmat, Rhdf5lib, BH, dqrng, scuttle","testthat, knitr, BiocStyle, rmarkdown, jsonlite,
DropletTestFiles",NA,GPL-3,NA,NA,NA,NA,yes,4.4.3
duckdb,/work/islet_cartography_scrna/r_library,1.4.1,NA,"DBI, R (>= 4.1.0)","methods, utils",NA,"adbcdrivermanager, arrow (>= 13.0.0), bit64, callr, clock,
DBItest, dbplyr, dplyr, rlang, testthat, tibble, vctrs, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
edgeR,/work/islet_cartography_scrna/r_library,4.4.2,NA,"R (>= 3.6.0), limma (>= 3.61.9)","methods, graphics, stats, utils, locfit",NA,"jsonlite, readr, rhdf5, splines, knitr, AnnotationDbi,
Biobase, BiocStyle, SummarizedExperiment, org.Hs.eg.db, Matrix,
SeuratObject",NA,GPL (>=2),NA,NA,NA,NA,yes,4.4.3
fastDummies,/work/islet_cartography_scrna/r_library,1.7.5,NA,R (>= 2.10),"data.table, tibble, stringr",NA,"testthat (>= 2.1.0), knitr, rmarkdown, covr, spelling",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
ff,/work/islet_cartography_scrna/r_library,4.5.2,NA,"R (>= 3.4.0), bit (>= 4.0.0), utils",NA,NA,"biglm, testthat (>= 0.11.0), markdown",NA,GPL-2 | GPL-3 | file LICENSE,NA,NA,NA,NA,yes,4.4.0
fitdistrplus,/work/islet_cartography_scrna/r_library,1.2-4,NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats, rlang",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc, bookdown",NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
FNN,/work/islet_cartography_scrna/r_library,1.1.4.1,NA,R (>= 4.0.0),NA,NA,"chemometrics, mvtnorm",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
foreach,/work/islet_cartography_scrna/r_library,1.5.2,NA,R (>= 2.5.0),"codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,Apache License (== 2.0),NA,NA,NA,NA,no,4.4.0
formatR,/work/islet_cartography_scrna/r_library,1.14,NA,R (>= 3.2.3),NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,GPL,NA,NA,NA,NA,no,4.4.0
formattable,/work/islet_cartography_scrna/r_library,0.2.1,NA,R (> 3.0.2),"methods, htmltools, htmlwidgets, knitr, rmarkdown",NA,"testthat, DT, shiny, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
furrr,/work/islet_cartography_scrna/r_library,0.3.1,NA,"future (>= 1.25.0), R (>= 3.4.0)","globals (>= 0.14.0), lifecycle (>= 1.0.1), purrr (>= 0.3.4),
rlang (>= 1.0.2), vctrs (>= 0.4.1)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), tidyselect, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
futile.logger,/work/islet_cartography_scrna/r_library,1.4.3,NA,R (>= 3.0.0),"utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,LGPL-3,NA,NA,NA,NA,no,4.4.0
futile.options,/work/islet_cartography_scrna/r_library,1.0.1,NA,R (>= 2.8.0),NA,NA,NA,NA,LGPL-3,NA,NA,NA,NA,no,4.4.0
future,/work/islet_cartography_scrna/r_library,1.67.0,NA,R (>= 3.2.0),"digest, globals (>= 0.18.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.44.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.4.0
future.apply,/work/islet_cartography_scrna/r_library,1.20.0,NA,"R (>= 3.2.0), future (>= 1.49.0)","globals, parallel, utils",NA,"datasets, stats, tools, listenv, R.rsp, markdown",NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
GenomeInfoDb,/work/islet_cartography_scrna/r_library,1.42.3,NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, UCSC.utils, GenomeInfoDbData",NA,"R.utils, data.table, GenomicRanges, Rsamtools,
GenomicAlignments, GenomicFeatures, BSgenome,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
GenomeInfoDbData,/work/islet_cartography_scrna/r_library,1.2.13,NA,R (>= 3.5.0),NA,NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
GenomicRanges,/work/islet_cartography_scrna/r_library,1.58.0,NA,"R (>= 4.0.0), methods, stats4, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.27.12), IRanges (>= 2.37.1), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.29.2)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, txdbmaker, Gviz, VariantAnnotation,
AnnotationHub, DESeq2, DEXSeq, edgeR, KEGGgraph,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset, KEGGREST,
hgu95av2.db, hgu95av2probe, BSgenome.Scerevisiae.UCSC.sacCer2,
BSgenome.Hsapiens.UCSC.hg38, BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
rmarkdown, BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
GEOquery,/work/islet_cartography_scrna/r_library,2.74.0,NA,"methods, Biobase","readr (>= 1.3.1), xml2, dplyr, data.table, tidyr, magrittr,
limma, curl, rentrez, R.utils, stringr, SummarizedExperiment,
S4Vectors, rvest, httr2",NA,"knitr, rmarkdown, BiocGenerics, testthat, covr, markdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.3
GetoptLong,/work/islet_cartography_scrna/r_library,1.0.5,NA,R (>= 3.3.0),"rjson, GlobalOptions (>= 0.1.0), methods, crayon",NA,"testthat (>= 1.0.0), knitr, markdown, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
ggbeeswarm,/work/islet_cartography_scrna/r_library,0.7.2,NA,"R (>= 3.5.0), ggplot2 (>= 3.3.0)","beeswarm, lifecycle, vipor, cli",NA,gridExtra,NA,GPL (>= 3),NA,NA,NA,NA,no,4.4.0
ggplot2,/work/islet_cartography_scrna/r_library,4.0.0,NA,R (>= 4.1),"cli, grDevices, grid, gtable (>= 0.3.6), isoband, lifecycle (>
1.0.1), rlang (>= 1.1.0), S7, scales (>= 1.4.0), stats, vctrs
(>= 0.6.0), withr (>= 2.5.0)",NA,"broom, covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr,
mapproj, maps, MASS, mgcv, multcomp, munsell, nlme, profvis,
quantreg, ragg (>= 1.2.6), RColorBrewer, rmarkdown, roxygen2,
rpart, sf (>= 0.7-3), svglite (>= 2.1.2), testthat (>= 3.1.5),
tibble, vdiffr (>= 1.0.6), xml2",sp,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
ggrastr,/work/islet_cartography_scrna/r_library,1.0.2,NA,R (>= 3.2.2),"ggplot2 (>= 2.1.0), Cairo (>= 1.5.9), ggbeeswarm, grid, png,
ragg",NA,"knitr, maps, rmarkdown, sf",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
ggrepel,/work/islet_cartography_scrna/r_library,0.9.6,NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)",Rcpp,"knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra, ggpp,
patchwork, devtools, prettydoc, ggbeeswarm, dplyr, magrittr,
readr, stringr",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,4.4.0
ggridges,/work/islet_cartography_scrna/r_library,0.5.7,NA,R (>= 3.2),"ggplot2 (>= 3.5.0), grid (>= 3.0.0), scales (>= 0.4.1), withr
(>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,GPL-2 | file LICENSE,NA,NA,NA,NA,no,4.4.0
glmnet,/work/islet_cartography_scrna/r_library,4.1-10,NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival, Rcpp","RcppEigen, Rcpp","knitr, lars, testthat, xfun, rmarkdown",NA,GPL-2,NA,NA,NA,NA,yes,4.4.0
glmpca,/work/islet_cartography_scrna/r_library,0.2.0,NA,"R (>= 3.5),","MASS, methods, stats, utils",NA,"covr, ggplot2, knitr, logisticPCA, markdown, Matrix,
testthat,",NA,LGPL (>= 3) | file LICENSE,NA,NA,NA,NA,no,4.4.0
GlobalOptions,/work/islet_cartography_scrna/r_library,0.1.2,NA,"R (>= 3.3.0), methods",utils,NA,"testthat (>= 1.0.0), knitr, markdown, GetoptLong",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
globals,/work/islet_cartography_scrna/r_library,0.18.0,NA,R (>= 3.1.2),codetools,NA,NA,NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.4.0
goftest,/work/islet_cartography_scrna/r_library,1.2-3,NA,R (>= 3.3),stats,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
gplots,/work/islet_cartography_scrna/r_library,3.2.0,NA,R (>= 3.0),"gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, rmarkdown, r2d2, nlme",NA,GPL-2,NA,NA,NA,NA,no,4.4.0
gridExtra,/work/islet_cartography_scrna/r_library,2.3,NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
gridGraphics,/work/islet_cartography_scrna/r_library,0.5-1,NA,"grid, graphics",grDevices,NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
gtools,/work/islet_cartography_scrna/r_library,3.9.5,NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,GPL-2,NA,NA,NA,NA,yes,4.4.0
HDF5Array,/work/islet_cartography_scrna/r_library,1.34.0,NA,"R (>= 3.4), methods, SparseArray (>= 1.5.42), DelayedArray (>=
0.31.8), rhdf5 (>= 2.31.6)","utils, stats, tools, Matrix, rhdf5filters, BiocGenerics (>=
0.51.2), S4Vectors, IRanges, S4Arrays (>= 1.1.1)","S4Vectors (>= 0.27.13), Rhdf5lib","BiocParallel, GenomicRanges, SummarizedExperiment (>=
1.15.1), h5vcData, ExperimentHub, TENxBrainData, zellkonverter,
GenomicFeatures, RUnit, SingleCellExperiment,
DelayedMatrixStats, genefilter",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
hms,/work/islet_cartography_scrna/r_library,1.1.4,NA,NA,"cli, lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs
(>= 0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.1
