Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
Seurat,/work/islet_cartography_scrna/r_library,5.3.1,NA,"R (>= 4.0.0), methods, SeuratObject (>= 5.0.2)","cluster, cowplot, fastDummies, fitdistrplus, future,
future.apply, generics (>= 0.1.3), ggplot2 (>= 3.3.0), ggrepel,
ggridges, graphics, grDevices, grid, httr, ica, igraph, irlba,
jsonlite, KernSmooth, leidenbase, lifecycle, lmtest, MASS,
Matrix (>= 1.5-0), matrixStats, miniUI, patchwork, pbapply,
plotly (>= 4.9.0), png, progressr, RANN, RColorBrewer, Rcpp (>=
1.0.7), RcppAnnoy (>= 0.0.18), RcppHNSW, reticulate, rlang,
ROCR, RSpectra, Rtsne, scales, scattermore (>= 1.2),
sctransform (>= 0.4.1), shiny, spatstat.explore, spatstat.geom,
stats, tibble, tools, utils, uwot (>= 0.1.10)","Rcpp (>= 0.11.0), RcppEigen, RcppProgress","ape, arrow, Biobase, BiocGenerics, BPCells, data.table,
DESeq2, DelayedArray, enrichR, GenomicRanges, GenomeInfoDb,
glmGamPoi, ggrastr, harmony, hdf5r, IRanges, limma, MAST,
metap, mixtools, monocle, presto, rsvd, R.utils, Rfast2,
rtracklayer, S4Vectors, sf (>= 1.0.0), SingleCellExperiment,
SummarizedExperiment, testthat, VGAM",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
SeuratObject,/work/islet_cartography_scrna/r_library,5.2.0,NA,"R (>= 4.1.0), sp (>= 1.5.0)","future, future.apply, generics, grDevices, grid, lifecycle,
Matrix (>= 1.6.4), methods, progressr, Rcpp (>= 1.0.5), rlang
(>= 0.4.7), spam, stats, tools, utils","Rcpp, RcppEigen","BPCells, DelayedArray, fs (>= 1.5.2), sf (>= 1.0.0), ggplot2,
HDF5Array, rmarkdown, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
shape,/work/islet_cartography_scrna/r_library,1.4.6.1,NA,R (>= 2.01),"stats, graphics, grDevices",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,4.4.0
SingleCellExperiment,/work/islet_cartography_scrna/r_library,1.28.1,NA,SummarizedExperiment,"methods, utils, stats, S4Vectors, BiocGenerics, GenomicRanges,
DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, Matrix, scRNAseq (>=
2.9.1), Rtsne",NA,GPL-3,NA,NA,NA,NA,no,4.4.3
sitmo,/work/islet_cartography_scrna/r_library,2.0.2,NA,R (>= 3.2.0),Rcpp (>= 0.12.13),Rcpp,"knitr, rmarkdown, ggplot2",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
snakecase,/work/islet_cartography_scrna/r_library,0.11.1,NA,R (>= 3.2),"stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,GPL-3,NA,NA,NA,NA,no,4.4.0
snow,/work/islet_cartography_scrna/r_library,0.4-4,NA,"R (>= 2.13.1), utils",NA,NA,rlecuyer,Rmpi,GPL,NA,NA,NA,NA,no,4.4.0
sp,/work/islet_cartography_scrna/r_library,2.2-0,NA,"R (>= 3.5.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, gstat, deldir, knitr, maps, mapview, rmarkdown,
sf, terra, raster",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
spam,/work/islet_cartography_scrna/r_library,2.11-1,NA,R (>= 4.0),"dotCall64, grid, methods, Rcpp (>= 1.0.8.3)",Rcpp,"spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,LGPL-2 | BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,4.4.0
SparseArray,/work/islet_cartography_scrna/r_library,1.6.2,NA,"R (>= 4.3.0), methods, Matrix, BiocGenerics (>= 0.43.1),
MatrixGenerics (>= 1.11.1), S4Vectors (>= 0.43.2), S4Arrays (>=
1.5.11)","utils, stats, matrixStats, IRanges, XVector","S4Vectors, IRanges, XVector","HDF5Array, ExperimentHub, testthat, knitr, rmarkdown,
BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
sparseMatrixStats,/work/islet_cartography_scrna/r_library,1.18.0,NA,MatrixGenerics (>= 1.5.3),"Rcpp, Matrix, matrixStats (>= 0.60.0), methods",Rcpp,"testthat (>= 2.1.0), knitr, bench, rmarkdown, BiocStyle",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.3
spatstat.data,/work/islet_cartography_scrna/r_library,3.1-9,NA,R (>= 3.5.0),"spatstat.utils (>= 3.1-2), Matrix",NA,"spatstat.geom, spatstat.random, spatstat.explore,
spatstat.model, spatstat.linnet",NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
spatstat.explore,/work/islet_cartography_scrna/r_library,3.5-3,NA,"R (>= 3.5.0), spatstat.data (>= 3.1-8), spatstat.univar (>=
3.1-4), spatstat.geom (>= 3.6), spatstat.random (>= 3.4),
stats, graphics, grDevices, utils, methods, nlme","spatstat.utils (>= 3.2), spatstat.sparse (>= 3.1), goftest (>=
1.2-2), Matrix, abind",NA,"sm, gsl, locfit, spatial, fftwtools (>= 0.9-8),
spatstat.linnet (>= 3.3), spatstat.model (>= 3.4), spatstat (>=
3.4)",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
spatstat.geom,/work/islet_cartography_scrna/r_library,3.6-0,NA,"R (>= 3.5.0), spatstat.data (>= 3.1-8), spatstat.univar (>=
3.1-4), stats, graphics, grDevices, utils, methods","spatstat.utils (>= 3.2-0), deldir (>= 1.0-2), polyclip (>=
1.10)",NA,"spatstat.random (>= 3.4), spatstat.explore (>= 3.4),
spatstat.model (>= 3.3), spatstat.linnet (>= 3.2), spatial,
fftwtools (>= 0.9-8), spatstat (>= 3.3)",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
spatstat.random,/work/islet_cartography_scrna/r_library,3.4-2,NA,"R (>= 3.5.0), spatstat.data (>= 3.1), spatstat.univar (>=
3.1), spatstat.geom (>= 3.5-0), stats, utils, methods,
grDevices",spatstat.utils (>= 3.1-4),NA,"spatial, spatstat.linnet (>= 3.2), spatstat.explore,
spatstat.model, spatstat (>= 3.3), gsl",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
spatstat.sparse,/work/islet_cartography_scrna/r_library,3.1-0,NA,"R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor",spatstat.utils (>= 3.0-5),NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
spatstat.univar,/work/islet_cartography_scrna/r_library,3.1-4,NA,"R (>= 3.5.0), stats","spatstat.utils (>= 3.1-2), graphics",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
spatstat.utils,/work/islet_cartography_scrna/r_library,3.2-0,NA,"R (>= 3.5.0), stats, graphics, grDevices, utils, methods",NA,NA,spatstat.model,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
spelling,/work/islet_cartography_scrna/r_library,2.3.2,NA,NA,"commonmark, xml2, hunspell (>= 3.0), knitr",NA,pdftools,NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
statmod,/work/islet_cartography_scrna/r_library,1.5.1,NA,R (>= 3.0.0),"stats, graphics",NA,"MASS, tweedie",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.0
stringdist,/work/islet_cartography_scrna/r_library,0.9.15,NA,R (>= 2.15.3),parallel,NA,tinytest,NA,GPL-3,NA,NA,NA,NA,yes,4.4.0
stringfish,/work/islet_cartography_scrna/r_library,0.17.0,NA,R (>= 3.6.0),"Rcpp, RcppParallel","Rcpp (>= 0.12.18.3), RcppParallel (>= 5.1.4)","qs2, qs, knitr, rmarkdown, usethis, dplyr, stringr, rlang",NA,GPL-3,NA,NA,NA,NA,yes,4.4.0
styler,/work/islet_cartography_scrna/r_library,1.11.0,NA,R (>= 4.0.0),"cli (>= 3.1.1), magrittr (>= 2.0.0), purrr (>= 1.0.2), R.cache
(>= 0.15.0), rlang (>= 1.0.0), rprojroot (>= 1.1), tools, vctrs
(>= 0.4.1), withr (>= 2.3.0),",NA,"data.tree (>= 0.1.6), digest, here, knitr, prettycode,
rmarkdown, roxygen2, rstudioapi (>= 0.7), tibble (>= 1.4.2),
testthat (>= 3.2.1)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
SummarizedExperiment,/work/islet_cartography_scrna/r_library,1.36.0,NA,"R (>= 4.0.0), methods, MatrixGenerics (>= 1.1.3),
GenomicRanges (>= 1.55.2), Biobase","utils, stats, tools, Matrix, BiocGenerics (>= 0.51.3),
S4Vectors (>= 0.33.7), IRanges (>= 2.23.9), GenomeInfoDb (>=
1.13.1), S4Arrays (>= 1.1.1), DelayedArray (>= 0.31.12)",NA,"jsonlite, rhdf5, HDF5Array (>= 1.7.5), annotate,
AnnotationDbi, GenomicFeatures, SparseArray,
SingleCellExperiment, TxDb.Hsapiens.UCSC.hg19.knownGene,
hgu95av2.db, airway (>= 1.15.1), BiocStyle, knitr, rmarkdown,
RUnit, testthat, digest",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
svglite,/work/islet_cartography_scrna/r_library,2.2.2,NA,R (>= 4.1),"base64enc, cli, lifecycle, rlang (>= 1.1.0), systemfonts (>=
1.3.0), textshaping (>= 0.3.0)","cpp11, systemfonts, textshaping","covr, fontquiver (>= 0.2.0), htmltools, knitr, rmarkdown,
testthat (>= 3.0.0), xml2 (>= 1.0.0)",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.4.0
systemfonts,/work/islet_cartography_scrna/r_library,1.3.1,NA,R (>= 3.2.0),"base64enc, grid, jsonlite, lifecycle, tools, utils",cpp11 (>= 0.2.1),"covr, farver, ggplot2, graphics, knitr, ragg, rmarkdown,
svglite, testthat (>= 2.1.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
tensor,/work/islet_cartography_scrna/r_library,1.5.1,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
tidyverse,/work/islet_cartography_scrna/r_library,2.0.0,NA,R (>= 3.3),"broom (>= 1.0.3), conflicted (>= 1.2.0), cli (>= 3.6.0),
dbplyr (>= 2.3.0), dplyr (>= 1.1.0), dtplyr (>= 1.2.2), forcats
(>= 1.0.0), ggplot2 (>= 3.4.1), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.1), haven (>= 2.5.1), hms (>= 1.1.2),
httr (>= 1.4.4), jsonlite (>= 1.8.4), lubridate (>= 1.9.2),
magrittr (>= 2.0.3), modelr (>= 0.1.10), pillar (>= 1.8.1),
purrr (>= 1.0.1), ragg (>= 1.2.5), readr (>= 2.1.4), readxl (>=
1.4.2), reprex (>= 2.0.2), rlang (>= 1.0.6), rstudioapi (>=
0.14), rvest (>= 1.0.3), stringr (>= 1.5.0), tibble (>= 3.1.8),
tidyr (>= 1.3.0), xml2 (>= 1.3.3)",NA,"covr (>= 3.6.1), feather (>= 0.3.5), glue (>= 1.6.2), mockr
(>= 0.2.0), knitr (>= 1.41), rmarkdown (>= 2.20), testthat (>=
3.1.6)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
tzdb,/work/islet_cartography_scrna/r_library,0.5.0,NA,R (>= 4.0.0),NA,cpp11 (>= 0.5.2),"covr, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.1
UCSC.utils,/work/islet_cartography_scrna/r_library,1.2.0,NA,NA,"methods, stats, httr, jsonlite, S4Vectors",NA,"DBI, RMariaDB, GenomeInfoDb, testthat, knitr, rmarkdown,
BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.3
umap,/work/islet_cartography_scrna/r_library,0.2.10.0,NA,R (>= 3.6.0),"Matrix, methods, openssl, reticulate, Rcpp (>= 0.12.6),
RSpectra, stats",Rcpp,"knitr, rmarkdown, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
uwot,/work/islet_cartography_scrna/r_library,0.2.3,NA,Matrix,"FNN, irlba, methods, Rcpp, RcppAnnoy (>= 0.0.17), RSpectra","dqrng, Rcpp, RcppAnnoy, RcppProgress","bigstatsr, covr, knitr, RcppHNSW, rmarkdown, rnndescent,
testthat",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.4.0
vipor,/work/islet_cartography_scrna/r_library,0.4.7,NA,R (>= 3.5.0),"stats, graphics",NA,"testthat, beeswarm, lattice, ggplot2, beanplot, vioplot,
ggbeeswarm,",NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
vroom,/work/islet_cartography_scrna/r_library,1.6.6,NA,R (>= 3.6),"bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle (>=
1.0.3), methods, rlang (>= 0.4.2), stats, tibble (>= 2.0.0),
tidyselect, tzdb (>= 0.1.1), vctrs (>= 0.2.0), withr","cpp11 (>= 0.2.0), progress (>= 1.2.3), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
XML,/work/islet_cartography_scrna/r_library,3.99-0.19,NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,4.4.0
XVector,/work/islet_cartography_scrna/r_library,0.46.0,NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9)","methods, utils, tools, zlibbioc, BiocGenerics, S4Vectors,
IRanges","S4Vectors, IRanges","Biostrings, drosophila2probe, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.4.3
zlibbioc,/work/islet_cartography_scrna/r_library,1.52.0,NA,NA,NA,NA,"BiocStyle, knitr",NA,Artistic-2.0 + file LICENSE,NA,NA,NA,NA,yes,4.4.3
askpass,/usr/local/lib/R/site-library,1.2.1,NA,NA,sys (>= 2.1),NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
backports,/usr/local/lib/R/site-library,1.5.0,NA,R (>= 3.0.0),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.0
base64enc,/usr/local/lib/R/site-library,0.1-3,NA,R (>= 2.9.0),NA,NA,NA,png,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.0
bdsmatrix,/usr/local/lib/R/site-library,1.3-7,NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,LGPL-2,NA,NA,NA,NA,yes,4.4.0
BiocManager,/usr/local/lib/R/site-library,1.30.25,NA,NA,utils,NA,"BiocVersion, BiocStyle, remotes, rmarkdown, testthat, withr,
curl, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,4.4.0
bit,/usr/local/lib/R/site-library,4.5.0.1,NA,R (>= 3.4.0),NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, markdown, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.0
bit64,/usr/local/lib/R/site-library,4.6.0-1,NA,"R (>= 3.4.0), bit (>= 4.0.0)","graphics, methods, stats, utils",NA,"testthat (>= 3.0.3), withr",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.0
blob,/usr/local/lib/R/site-library,1.2.4,NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
brew,/usr/local/lib/R/site-library,1.0-10,NA,NA,NA,NA,testthat (>= 3.0.0),NA,GPL (>= 2),NA,NA,NA,NA,no,4.4.0
brio,/usr/local/lib/R/site-library,1.1.5,NA,R (>= 3.6),NA,NA,"covr, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
broom,/usr/local/lib/R/site-library,1.0.7,NA,R (>= 3.5),"backports, dplyr (>= 1.0.0), generics (>= 0.0.2), glue,
lifecycle, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr (>=
1.0.0)",NA,"AER, AUC, bbmle, betareg (>= 3.2-1), biglm, binGroup, boot,
btergm (>= 1.10.6), car (>= 3.1-2), carData, caret, cluster,
cmprsk, coda, covr, drc, e1071, emmeans, epiR, ergm (>=
3.10.4), fixest (>= 0.9.0), gam (>= 1.15), gee, geepack,
ggplot2, glmnet, glmnetUtils, gmm, Hmisc, irlba, interp,
joineRML, Kendall, knitr, ks, Lahman, lavaan (>= 0.6.18),
leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, margins, MASS, mclust, mediation, metafor, mfx,
mgcv, mlogit, modeldata, modeltests (>= 0.1.6), muhaz,
multcomp, network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA,
psych, quantreg, rmarkdown, robust, robustbase, rsample,
sandwich, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival (>= 3.6-4), systemfit, testthat (>= 2.1.0),
tseries, vars, zoo",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
bslib,/usr/local/lib/R/site-library,0.9.0,NA,R (>= 2.10),"base64enc, cachem, fastmap (>= 1.1.1), grDevices, htmltools
(>= 0.5.8), jquerylib (>= 0.1.3), jsonlite, lifecycle, memoise
(>= 2.0.1), mime, rlang, sass (>= 0.4.9)",NA,"bsicons, curl, fontawesome, future, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (> 1.8.1), testthat,
thematic, tools, utils, withr, yaml",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
cachem,/usr/local/lib/R/site-library,1.1.0,NA,NA,"rlang, fastmap (>= 1.2.0)",NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
Cairo,/usr/local/lib/R/site-library,1.6-2,NA,R (>= 2.4.0),"grDevices, graphics",NA,png,FastRWeb,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.4.0
callr,/usr/local/lib/R/site-library,3.7.6,NA,R (>= 3.4),"processx (>= 3.6.1), R6, utils",NA,"asciicast (>= 2.3.1), cli (>= 1.1.0), mockery, ps, rprojroot,
spelling, testthat (>= 3.2.0), withr (>= 2.3.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
cellranger,/usr/local/lib/R/site-library,1.1.0,NA,R (>= 3.0.0),"rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
cleanrmd,/usr/local/lib/R/site-library,0.1.1,NA,R (>= 2.10),"htmltools, jsonlite, rmarkdown, utils",NA,testthat (>= 2.1.0),NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
cli,/usr/local/lib/R/site-library,3.6.4,NA,R (>= 3.4),utils,NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, processx, ps (>=
1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat (>= 3.2.0), tibble, whoami, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
clipr,/usr/local/lib/R/site-library,0.8.0,NA,NA,utils,NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,GPL-3,NA,NA,NA,NA,no,4.4.0
collapse,/usr/local/lib/R/site-library,2.0.19,NA,R (>= 3.4.0),Rcpp (>= 1.0.1),Rcpp,"fastverse, data.table, magrittr, kit, xts, zoo, plm, fixest,
vars, RcppArmadillo, RcppEigen, tibble, dplyr, ggplot2, scales,
microbenchmark, testthat, covr, knitr, rmarkdown, withr, bit64",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,4.4.0
colorspace,/usr/local/lib/R/site-library,2.1-1,NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,4.4.0
commonmark,/usr/local/lib/R/site-library,1.9.2,NA,NA,NA,NA,"curl, testthat, xml2",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,4.4.0
conflicted,/usr/local/lib/R/site-library,1.2.0,NA,R (>= 3.2),"cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
coro,/usr/local/lib/R/site-library,1.1.0,NA,R (>= 3.5.0),rlang (>= 0.4.12),NA,"knitr, later (>= 1.1.0), magrittr (>= 2.0.0), promises,
reticulate, rmarkdown, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
covr,/usr/local/lib/R/site-library,3.6.4,NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, curl, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
cpp11,/usr/local/lib/R/site-library,0.5.1,NA,R (>= 4.0.0),NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat (>= 3.2.0), tibble, utils, vctrs, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
crayon,/usr/local/lib/R/site-library,1.5.3,NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
credentials,/usr/local/lib/R/site-library,2.0.2,NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
crosstalk,/usr/local/lib/R/site-library,1.2.1,NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
curl,/usr/local/lib/R/site-library,6.2.1,NA,R (>= 3.0.0),NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, later,
rmarkdown, httpuv (>= 1.4.4), webutils",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.4.0
data.table,/usr/local/lib/R/site-library,1.17.0,NA,R (>= 3.3.0),methods,NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), R.utils, xts, zoo (>=
1.8-1), yaml, knitr, markdown",NA,MPL-2.0 | file LICENSE,NA,NA,NA,NA,yes,4.4.0
DBI,/usr/local/lib/R/site-library,1.2.3,NA,"methods, R (>= 3.0.0)",NA,NA,"arrow, blob, covr, DBItest, dbplyr, downlit, dplyr, glue,
hms, knitr, magrittr, nanoarrow (>= 0.3.0.1), RMariaDB,
rmarkdown, rprojroot, RSQLite (>= 1.1-2), testthat (>= 3.0.0),
vctrs, xml2",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.4.0
dbplyr,/usr/local/lib/R/site-library,2.5.0,NA,R (>= 3.6),"blob (>= 1.2.0), cli (>= 3.6.1), DBI (>= 1.1.3), dplyr (>=
1.1.2), glue (>= 1.6.2), lifecycle (>= 1.0.3), magrittr,
methods, pillar (>= 1.9.0), purrr (>= 1.0.1), R6 (>= 2.2.2),
rlang (>= 1.1.1), tibble (>= 3.2.1), tidyr (>= 1.3.0),
tidyselect (>= 1.2.1), utils, vctrs (>= 0.6.3), withr (>=
2.5.0)",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc (>= 1.4.2),
RMariaDB (>= 1.2.2), rmarkdown, RPostgres (>= 1.4.5),
RPostgreSQL, RSQLite (>= 2.3.1), testthat (>= 3.1.10)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
desc,/usr/local/lib/R/site-library,1.4.3,NA,R (>= 3.4),"cli, R6, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
devtools,/usr/local/lib/R/site-library,2.4.5,NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.4.0
